,Event Type,Event ID,Event Time (UTC),Duration (s),Extra Data
131,GS_pass,LOS,2024-11-07 16:58:04.454094456,604.6667085740964,"{'TCA': '2024-11-07T16:53:02.566319463', 'MAX_EL': 59.52498627952027, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0106', 'AOS': None}"
132,GS_pass,AOS,2024-11-07 17:08:34.189661941,608.5978586106249,"{'TCA': '2024-11-07T17:13:38.586747901', 'MAX_EL': 58.63821112301415, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT23', 'LOS': '2024-11-07T17:18:42.787520551'}"
133,Eclipse,Exit,2024-11-07 17:12:16.926651000,2079.4958222156165,"{'Start Time': datetime.datetime(2024, 11, 7, 16, 37, 37, 430829)}"
134,GS_pass,LOS,2024-11-07 17:18:42.787520551,608.5978586106249,"{'TCA': '2024-11-07T17:13:38.586747901', 'MAX_EL': 58.63821112301415, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT23', 'AOS': None}"
135,Eclipse,Entry,2024-11-07 18:14:02.295733000,2079.476950433276,"{'End Time': datetime.datetime(2024, 11, 7, 18, 48, 41, 772684)}"
136,GS_pass,AOS,2024-11-07 18:43:52.346294042,617.4808328591777,"{'TCA': '2024-11-07T18:49:00.964974478', 'MAX_EL': 89.95548915095839, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT24', 'LOS': '2024-11-07T18:54:09.827126901'}"
137,Eclipse,Exit,2024-11-07 18:48:41.772684000,2079.476950433276,"{'Start Time': datetime.datetime(2024, 11, 7, 18, 14, 2, 295733)}"
138,GS_pass,LOS,2024-11-07 18:54:09.827126901,617.4808328591777,"{'TCA': '2024-11-07T18:49:00.964974478', 'MAX_EL': 89.95548915095839, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT24', 'AOS': None}"
139,Eclipse,Entry,2024-11-07 19:50:27.144209000,2079.463075256391,"{'End Time': datetime.datetime(2024, 11, 7, 20, 25, 6, 607285)}"
140,GS_pass,AOS,2024-11-07 20:19:43.878850665,605.7367636886564,"{'TCA': '2024-11-07T20:24:46.479355134', 'MAX_EL': 48.159230877076226, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT25', 'LOS': '2024-11-07T20:29:49.615614354'}"
141,Eclipse,Exit,2024-11-07 20:25:06.607285000,2079.463075256391,"{'Start Time': datetime.datetime(2024, 11, 7, 19, 50, 27, 144209)}"
142,GS_pass,LOS,2024-11-07 20:29:49.615614354,605.7367636886564,"{'TCA': '2024-11-07T20:24:46.479355134', 'MAX_EL': 48.159230877076226, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT25', 'AOS': None}"
143,GS_pass,AOS,2024-11-07 21:03:17.593603781,357.45276491613157,"{'TCA': '2024-11-07T21:06:15.825412288', 'MAX_EL': 9.943512760764412, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0110', 'LOS': '2024-11-07T21:09:15.046368697'}"
144,GS_pass,LOS,2024-11-07 21:09:15.046368697,357.45276491613157,"{'TCA': '2024-11-07T21:06:15.825412288', 'MAX_EL': 9.943512760764412, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0110', 'AOS': None}"
145,Eclipse,Entry,2024-11-07 21:26:51.906894000,2079.4647221304467,"{'End Time': datetime.datetime(2024, 11, 7, 22, 1, 31, 371616)}"
146,GS_pass,AOS,2024-11-07 21:56:25.900712543,552.7108825877436,"{'TCA': '2024-11-07T22:01:01.997045235', 'MAX_EL': 24.722063435366817, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT26', 'LOS': '2024-11-07T22:05:38.611595131'}"
147,Eclipse,Exit,2024-11-07 22:01:31.371616000,2079.4647221304467,"{'Start Time': datetime.datetime(2024, 11, 7, 21, 26, 51, 906894)}"
148,GS_pass,LOS,2024-11-07 22:05:38.611595131,552.7108825877436,"{'TCA': '2024-11-07T22:01:01.997045235', 'MAX_EL': 24.722063435366817, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT26', 'AOS': None}"
149,GS_pass,AOS,2024-11-07 22:35:47.834944942,617.9818938019648,"{'TCA': '2024-11-07T22:40:54.009995662', 'MAX_EL': 81.7019845352856, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0111', 'LOS': '2024-11-07T22:46:05.816838744'}"
150,GS_pass,LOS,2024-11-07 22:46:05.816838744,617.9818938019648,"{'TCA': '2024-11-07T22:40:54.009995662', 'MAX_EL': 81.7019845352856, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0111', 'AOS': None}"
151,Eclipse,Entry,2024-11-07 23:03:16.620974000,2079.4743870407474,"{'End Time': datetime.datetime(2024, 11, 7, 23, 37, 56, 95361)}"
152,GS_pass,AOS,2024-11-07 23:21:51.861299921,596.4495517251903,"{'TCA': '2024-11-07T23:26:49.287318599', 'MAX_EL': 47.793641341483095, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0108', 'LOS': '2024-11-07T23:31:48.310851647'}"
153,GS_pass,LOS,2024-11-07 23:31:48.310851647,596.4495517251903,"{'TCA': '2024-11-07T23:26:49.287318599', 'MAX_EL': 47.793641341483095, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0108', 'AOS': None}"
154,GS_pass,AOS,2024-11-07 23:34:08.345495000,445.11000025006086,"{'TCA': '2024-11-07T23:37:50.764457166', 'MAX_EL': 13.406372846117188, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT27', 'LOS': '2024-11-07T23:41:33.455495250'}"
155,Eclipse,Exit,2024-11-07 23:37:56.095361000,2079.4743870407474,"{'Start Time': datetime.datetime(2024, 11, 7, 23, 3, 16, 620974)}"
156,GS_pass,LOS,2024-11-07 23:41:33.455495250,445.11000025006086,"{'TCA': '2024-11-07T23:37:50.764457166', 'MAX_EL': 13.406372846117188, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT27', 'AOS': None}"
157,GS_pass,AOS,2024-11-08 00:13:47.878646334,371.31534903945715,"{'TCA': '2024-11-08T00:16:52.611411438', 'MAX_EL': 10.113260622168879, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0112', 'LOS': '2024-11-08T00:19:59.193995374'}"
158,GS_pass,LOS,2024-11-08 00:19:59.193995374,371.31534903945715,"{'TCA': '2024-11-08T00:16:52.611411438', 'MAX_EL': 10.113260622168879, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0112', 'AOS': None}"
159,Eclipse,Entry,2024-11-08 00:39:41.346685000,2079.4679975236577,"{'End Time': datetime.datetime(2024, 11, 8, 1, 14, 20, 814683)}"
160,GS_pass,AOS,2024-11-08 00:59:05.669433829,403.61678317723613,"{'TCA': '2024-11-08T01:02:26.910340167', 'MAX_EL': 11.566190739513997, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0109', 'LOS': '2024-11-08T01:05:49.286217006'}"
161,GS_pass,LOS,2024-11-08 01:05:49.286217006,403.61678317723613,"{'TCA': '2024-11-08T01:02:26.910340167', 'MAX_EL': 11.566190739513997, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0109', 'AOS': None}"
162,GS_pass,AOS,2024-11-08 01:12:51.273845978,279.88650989481056,"{'TCA': '2024-11-08T01:15:11.199353013', 'MAX_EL': 7.558579864199978, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT28', 'LOS': '2024-11-08T01:17:31.160355873'}"
163,Eclipse,Exit,2024-11-08 01:14:20.814683000,2079.4679975236577,"{'Start Time': datetime.datetime(2024, 11, 8, 0, 39, 41, 346685)}"
164,GS_pass,LOS,2024-11-08 01:17:31.160355873,279.88650989481056,"{'TCA': '2024-11-08T01:15:11.199353013', 'MAX_EL': 7.558579864199978, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT28', 'AOS': None}"
165,Eclipse,Entry,2024-11-08 02:16:06.081803000,2079.4482137104997,"{'End Time': datetime.datetime(2024, 11, 8, 2, 50, 45, 530016)}"
166,Eclipse,Exit,2024-11-08 02:50:45.530016000,2079.4482137104997,"{'Start Time': datetime.datetime(2024, 11, 8, 2, 16, 6, 81803)}"
167,GS_pass,AOS,2024-11-08 02:52:29.519691731,50.36258609213928,"{'TCA': '2024-11-08T02:52:54.702014142', 'MAX_EL': 5.073442428054529, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT29', 'LOS': '2024-11-08T02:53:19.882277823'}"
168,GS_pass,LOS,2024-11-08 02:53:19.882277823,50.36258609213928,"{'TCA': '2024-11-08T02:52:54.702014142', 'MAX_EL': 5.073442428054529, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT29', 'AOS': None}"
169,Eclipse,Entry,2024-11-08 03:52:30.877682000,2079.4334254225373,"{'End Time': datetime.datetime(2024, 11, 8, 4, 27, 10, 311108)}"
170,Eclipse,Exit,2024-11-08 04:27:10.311108000,2079.4334254225373,"{'Start Time': datetime.datetime(2024, 11, 8, 3, 52, 30, 877682)}"
