SatID,start_time,end_time,encoded_strip_id,gsID,operation,camera_memory_value_endofTW,delta_camera_memory_value_in_this_TW,SSD_memory_value_endofTW,delta_SSD_memory_value_in_this_TW,global_priority,local_priority,mean_global_priority,mean_local_priority,StripID,AoiID,base_time
FF02,112649.0,113290.0,,SVALBARD01,downlinking_from_Readout,531.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,113017.0,113290.0,,MAU01,downlinking_from_Readout,391.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,114589.0,115223.0,,SVALBARD01,downlinking_from_Readout,391.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,115494.0,115552.0,,AWARUA01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,116531.0,117153.0,,SVALBARD01,downlinking_from_Readout,587.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,117210.0,117622.0,,AWARUA01,downlinking_from_Readout,475.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,118484.0,119088.0,,SVALBARD01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,119041.0,119088.0,,AWARUA01,downlinking_from_Readout,587.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,120443.0,121023.0,,SVALBARD01,downlinking_from_Readout,34.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,120916.0,121023.0,,AWARUA01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,122404.0,122956.0,,SVALBARD01,downlinking_from_Readout,587.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,122824.0,122956.0,,AWARUA01,downlinking_from_Readout,34.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,124377.0,124893.0,,SVALBARD01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,124758.0,124893.0,,AWARUA01,downlinking_from_Readout,587.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,126357.0,126831.0,,SVALBARD01,downlinking_from_Readout,34.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,126732.0,126831.0,,AWARUA01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,128338.0,128766.0,,SVALBARD01,downlinking_from_Readout,587.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,128763.0,128766.0,,AWARUA01,downlinking_from_Readout,34.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,130330.0,130706.0,,SVALBARD01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,131434.0,131759.0,,JEJU01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,132327.0,132647.0,,SVALBARD01,downlinking_from_Readout,34.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,133262.0,133810.0,,JEJU01,downlinking_from_Readout,34.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,134323.0,134586.0,,SVALBARD01,downlinking_from_Readout,433.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,135150.0,135777.0,,JEJU01,downlinking_from_Readout,432.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,136324.0,136533.0,,SVALBARD01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,137072.0,137702.0,,JEJU01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,138321.0,138487.0,,SVALBARD01,downlinking_from_Readout,202.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,139022.0,139584.0,,JEJU01,downlinking_from_Readout,202.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,140302.0,140450.0,,SVALBARD01,downlinking_from_Readout,544.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF01,141008.0,141403.0,,JEJU01,downlinking_from_Readout,544.9999999999999,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF02,142269.0,142435.0,,SVALBARD01,downlinking_from_Readout,776.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,144222.0,144432.0,,SVALBARD01,downlinking_from_Readout,202.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
FF03,146052.0,146244.0,,MAU01,downlinking_from_Readout,321.0,0.0,NA,NA,no_i_no_g,no_i_no_g,no_i_no_g,no_i_no_g,,,2024-11-13 12:30:44
