SatID,start_time,end_time,gsID,base_time
FF03,2024-11-15 10:23:45,2024-11-15 10:31:35,AWARUA01,2024-11-13 12:30:44
FF02,2024-11-15 10:29:36,2024-11-15 10:31:35,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-15 10:55:02,2024-11-15 11:04:55,AWARUA01,2024-11-13 12:30:44
FF03,2024-11-15 11:01:48,2024-11-15 11:04:55,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 11:26:51,2024-11-15 11:37:35,AWARUA01,2024-11-13 12:30:44
FF01,2024-11-15 11:33:56,2024-11-15 11:37:35,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 11:58:56,2024-11-15 12:09:42,AWARUA01,2024-11-13 12:30:44
FF02,2024-11-15 12:06:06,2024-11-15 12:09:41,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 12:24:20,2024-11-15 12:30:59,JEJU01,2024-11-13 12:30:44
FF03,2024-11-15 12:38:14,2024-11-15 12:48:58,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 13:36:50,2024-11-15 13:42:29,AWARUA01,2024-11-13 12:30:44
